0,SU1,110.378083,-7.767627,SU2,1,1,0.25
1,SU2,110.3781,-7.76759,SU3,2,1,2.25
2,SU3,110.378143,-7.767439,SU4,3,1,2.25
3,SU4,110.378541,-7.76756,SU46,45,1,2.25
4,SU5,110.378568,-7.767461,SU6,5,1,0.25
5,SU6,110.378493,-7.767362,SU7,6,1,0
6,SU7,110.378492,-7.767227,SU-1,-1,1,0
7,SU8,110.378116,-7.76746,SU9,8,1,2.25
8,SU9,110.378137,-7.767466,SU3,2,1,2.25
9,SU10,110.378126,-7.767583,SU11,10,1,2.25
10,SU11,110.378121,-7.767603,SU2,1,1,2.25
11,SU12,110.37816,-7.767465,SU13,12,1,2.25
12,SU13,110.378168,-7.767442,SU4,3,1,2.25
13,SU14,110.378504,-7.767568,SU15,14,1,2.25
14,SU15,110.37851,-7.767547,SU4,3,1,2.25
15,SU16,110.378166,-7.767603,SU17,16,1,2.25
16,SU17,110.378162,-7.767613,SU18,17,1,2.25
17,SU18,110.378491,-7.767712,SU4,3,1,2.25
18,SU19,110.378296,-7.76764,SU20,19,1,2.25
19,SU20,110.378292,-7.767651,SU18,17,1,2.25
20,SU21,110.378581,-7.76776,SU47,46,1,2.25
21,SU22,110.378664,-7.767489,SU23,22,1,0.25
22,SU23,110.378766,-7.76752,SU24,23,1,0.25
23,SU24,110.378967,-7.767535,SU25,24,1,0
24,SU25,110.379056,-7.767416,SU-1,-1,1,0
25,SU26,110.379073,-7.767924,SU43,42,1,0.25
26,SU27,110.379082,-7.767888,SU26,25,1,2.25
27,SU28,110.379126,-7.767734,SU29,28,1,2.25
28,SU29,110.378733,-7.767616,SU48,47,1,2.25
29,SU30,110.379134,-7.767763,SU31,30,1,2.25
30,SU31,110.379119,-7.76776,SU28,27,1,2.25
31,SU32,110.379063,-7.767864,SU33,32,1,2.25
32,SU33,110.379056,-7.767883,SU27,26,1,2.25
33,SU34,110.379098,-7.767746,SU35,34,1,2.25
34,SU35,110.379102,-7.767724,SU29,28,1,2.25
35,SU36,110.378755,-7.767644,SU37,36,1,2.25
36,SU37,110.378759,-7.767623,SU29,28,1,2.25
37,SU38,110.378985,-7.76785,SU39,38,1,2.25
38,SU39,110.378982,-7.767861,SU27,26,1,2.25
39,SU40,110.378822,-7.7678,SU41,40,1,2.25
40,SU41,110.378819,-7.767809,SU42,41,1,2.25
41,SU42,110.378686,-7.76777,SU29,28,1,2.25
42,SU43,110.379161,-7.768045,SU44,43,1,0
43,SU44,110.379351,-7.768054,SU-1,-1,1,0
44,SU45,110.378588,-7.767741,SU47,46,1,2.25
45,SU46,110.378555,-7.767498,SU5,4,1,2.25
46,SU47,110.378648,-7.767528,SU22,21,1,2.25
47,SU48,110.37875,-7.767558,SU23,22,1,2.25
48,SS49,110.379089,-7.768317,SS50,49,1,0
49,SS50,110.379239,-7.768429,SS-1,-1,1,0
50,SS51,110.377974,-7.767984,SS56,55,1,0.25
51,SS52,110.377965,-7.768022,SS51,50,1,2.25
52,SS53,110.378953,-7.768316,SS54,53,1,2.25
53,SS54,110.378964,-7.768281,SS57,56,1,0.25
54,SS55,110.378694,-7.768802,SS-1,-1,1,0
55,SS56,110.377983,-7.767957,SS57,56,1,0.25
56,SS57,110.378973,-7.76825,SS49,48,1,0.25
57,SS58,110.378478,7.768102,SS57,56,1,0.25
58,SS59,110.378515,-7.768114,SS57,56,1,0.25
59,SS60,110.378437,-7.768091,SS57,56,1,0.25
60,SS61,110.377985,-7.768045,SS62,61,1,2.25
61,SS62,110.377991,-7.768026,SS93,92,1,2.25
62,SS63,110.378329,-7.76815,SS64,63,1,2.25
63,SS64,110.378335,-7.768128,SS93,92,1,2.25
64,SS65,110.378578,-7.768225,SS66,65,1,2.25
65,SS66,110.378584,-7.768204,SS95,94,1,2.25
66,SS67,110.378685,-7.768247,SS68,67,1,2.25
67,SS68,110.378688,-7.768236,SS95,94,1,2.25
68,SS69,110.378921,-7.768327,SS70,69,1,2.25
69,SS70,110.378928,-7.768307,SS53,52,1,2.25
70,SS71,110.377912,-7.768145,SS72,71,1,2.25
71,SS72,110.377931,-7.76815,SS52,51,1,2.25
72,SS73,110.377951,-7.768164,SS74,73,1,2.25
73,SS74,110.377943,-7.768184,SS79,78,1,2.25
74,SS75,110.378055,-7.768203,SS76,75,1,2.25
75,SS76,110.378052,-7.768213,SS79,78,1,2.25
76,SS77,110.378249,-7.768262,SS78,77,1,2.25
77,SS78,110.378246,-7.768274,SS79,78,1,2.25
78,SS79,110.378278,-7.768284,SS80,79,1,2.25
79,SS80,110.378262,-7.768344,SS81,80,1,0.25
80,SS81,110.378273,-7.768411,SS82,81,1,0
81,SS82,110.378636,-7.768521,SS55,54,1,0
82,SS83,110.378886,-7.768444,SS84,83,1,2.25
83,SS84,110.37888,-7.768465,SS98,97,1,2.25
